"Drittmittelgeber";"KDSF key"
"Europäische Union (EU)";"kdsf:EU"
"Sonstige öffentliche internationale Förderorganisationen";"kdsf:SonstigeInternationaleOrganisationen"
"Deutsche Forschungsgemeinschaft (DFG)";"kdsf:DFG"
"Bundesrepublik Deutschland (Bund)";"kdsf:Bund"
"Bundesländer";"kdsf:Bundeslaender"
"Sonstige Drittmittelgeber öffentlich";"kdsf:SonstigeDrittmittelgeber"
"Gewerbliche Wirtschaft und sonstige private Betreiber";"kdsf:GewerblicheWirtschaftUndSonstigePrivateBereiche"
"Nicht erklärt (Private Mittelgeber)";"kdsf:NichtErklaertPrivateMittelgeber"
"Nicht erklärt (Öffentliche Mittelgeber)";"kdsf:NichtErklaertOeffentlicheMittelgeber"
"Nicht erklärt";"kdsf:NichtErklaert"
