"Personalkategorie";"KDSF key"
"Professoren";"kdsf:Professuren"
"Stiftungsprofessoren";"kdsf:Sonstige Professuren"
"Vertretungsprofessoren/Lehrstuhlvertreter";"kdsf:Sonstige Professuren"
"Außerplanmäßige Professoren";"kdsf:Sonstige Professuren"
"Seniorprofessoren";"kdsf:Sonstige Professuren"
"Hauptberufliche Gastprofessoren";"kdsf:Sonstige Professuren"
"Juniorprofessoren";"kdsf:Juniorprofessuren"
"Wissenschaftliche und  künstlerische Mitarbeiter";"kdsf:WissenschaftlicheUndKuenstlerischeMitarbeiter"
"Sonstiges wissenschaftliches und künstlerisches Personal";"kdsf:SonstigesWissenschaftlichesUndKuenstlerischesPersonal"
"Wissenschaftliche oder künstlerische Hilfskräfte";"kdsf:WissenschaftlicheOderKuenstlerischeHilfskraefte"
"Wissenschaftsunterstützendes Personal";"kdsf:WissenschaftsunterstuetzendesPersonal"
"Verwaltungspersonal";"kdsf:Verwaltungspersonal"
"Sonstiges Personal";"kdsf:SonstigesPersonal"
